Koordinatensystem : Lambert konform konisch
Rechtswert        : 4109500 Meter
Hochwert          : 2383500 Meter
Hoehenlage        : 546 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4109500 2383500  1  3 23   2.0  950 182  1.8 1  4.6  96    0    0 226 -312  2
4109500 2383500  1  3 24   1.7  950 162  1.7 0  4.5  96    0    0 222 -311  2
4109500 2383500  1  4  1   1.2  949 154  1.8 0  4.4  97    0    0 215 -311  2
4109500 2383500  1  4  2   1.0  949 153  1.7 1  4.3  99    0    0 215 -311  2
4109500 2383500  1  4  3   0.7  948 152  2.4 0  4.3 100    0    0 211 -311  2
4109500 2383500  1  4  4   0.2  948 153  2.5 0  4.2 100    0    0 204 -312  2
4109500 2383500  1  4  5   0.1  947 145  2.6 0  4.1 100    0    0 199 -312  2
4109500 2383500  1  4  6   0.1  946 131  1.9 0  4.1 100    0    0 194 -313  2
4109500 2383500  1  4  7   0.0  946 121  1.9 2  4.1 100    0    0 200 -313  2
4109500 2383500  1  4  8   0.2  945 121  2.7 4  4.1 100    0    0 220 -314  2
4109500 2383500  1  4  9   0.0  944 131  2.5 5  4.1 100    3   17 238 -314  2
4109500 2383500  1  4 10   0.7  943 120  2.3 7  4.1  98    5   63 263 -314  2
4109500 2383500  1  4 11   1.2  943 120  0.9 7  4.2  96    1   78 283 -318  2
4109500 2383500  1  4 12   1.7  942 109  1.6 8  4.2  92    0   78 294 -322  2
4109500 2383500  1  4 13   3.1  942 168  1.7 7  4.2  87    2  117 298 -326  2
4109500 2383500  1  4 14   2.9  942 195  1.0 7  4.4  86    7  125 293 -331  2
4109500 2383500  1  4 15   2.4  942 220  1.8 8  4.3  88    0   68 301 -334  2
4109500 2383500  1  4 16   3.0  943 238  2.0 8  4.3  87    1   41 309 -334  2
4109500 2383500  1  4 17   3.9  943 252  3.5 8  4.2  81    0    3 311 -334  2
4109500 2383500  1  4 18   3.9  944 212  2.8 8  4.5  83    0    0 313 -334  2
4109500 2383500  1  4 19   4.1  945 220  3.6 8  5.0  92    0    0 314 -332  2
4109500 2383500  1  4 20   5.0  945 240  5.2 8  5.2  93    0    0 316 -331  2
4109500 2383500  1  4 21   5.0  945 241  4.4 8  5.2  89    0    0 317 -330  2
4109500 2383500  1  4 22   5.4  946 240  4.3 7  5.0  85    0    0 310 -329  2
4109500 2383500  1  4 23   5.4  947 241  3.5 7  4.8  80    0    0 302 -328  2
4109500 2383500  1  4 24   5.5  947 221  2.7 8  4.6  76    0    0 306 -328  2
4109500 2383500  1  5  1   5.3  947 218  1.8 6  4.3  73    0    0 298 -328  2
4109500 2383500  1  5  2   3.9  947 211  1.9 2  4.1  72    0    0 257 -324  2
4109500 2383500  1  5  3   3.1  947 192  1.9 1  3.9  74    0    0 228 -321  2
4109500 2383500  1  5  4   2.7  946 171  1.7 1  3.9  77    0    0 226 -319  2
4109500 2383500  1  5  5   1.7  946 149  2.4 0  3.9  82    0    0 222 -319  2
4109500 2383500  1  5  6   1.4  946 160  1.6 2  3.9  86    0    0 228 -319  2
4109500 2383500  1  5  7   1.2  945 151  2.5 4  3.9  86    0    0 246 -320  2
4109500 2383500  1  5  8   2.0  944 139  3.1 7  3.9  84    0    0 270 -322  2
4109500 2383500  1  5  9   2.5  943 141  3.2 7  3.9  81    1   15 284 -324  2
4109500 2383500  1  5 10   3.0  943 134  3.4 7  3.9  79    5   62 287 -325  2
4109500 2383500  1  5 11   3.8  942 122  2.8 6  3.9  76   13  109 284 -329  2
4109500 2383500  1  5 12   4.5  941 121  1.9 6  4.0  72   13  138 279 -333  2
4109500 2383500  1  5 13   4.9  940 148  1.7 7  4.0  71    0  100 285 -335  2
4109500 2383500  1  5 14   4.8  940 120  1.7 7  4.0  70    0   68 291 -337  2
4109500 2383500  1  5 15   5.3  939 122  1.7 8  4.1  69    0   66 304 -339  2
4109500 2383500  1  5 16   4.9  939 111  2.5 8  4.2  71    0   39 318 -341  2
4109500 2383500  1  5 17   5.2  938 230  1.7 7  4.3  73    0    6 309 -341  2
4109500 2383500  1  5 18   4.8  938 251  1.7 7  4.4  75    0    0 300 -342  2
4109500 2383500  1  5 19   4.8  938 141  2.5 8  4.8  82    0    0 314 -342  2
4109500 2383500  1  5 20   5.4  938 150  3.9 8  4.7  80    0    0 327 -342  2
4109500 2383500  1  5 21   5.8  937 150  3.1 8  4.2  68    0    0 327 -342  2
4109500 2383500  1  5 22   6.3  937 213  0.9 8  3.9  62    0    0 328 -341  2
4109500 2383500  1  5 23   4.8  937 165  1.4 8  4.3  70    0    0 328 -340  2
4109500 2383500  1  5 24   5.0  937  82  1.4 8  4.7  80    0    0 326 -339  2
4109500 2383500  1  6  1   4.5  937 187  1.0 7  4.6  80    0    0 318 -338  2
4109500 2383500  1  6  2   4.4  937 238  1.7 8  4.7  84    0    0 318 -339  2
4109500 2383500  1  6  3   4.4  937 120  1.0 8  4.9  86    0    0 324 -340  2
4109500 2383500  1  6  4   4.9  938 165  2.0 8  5.0  86    0    0 324 -343  2
4109500 2383500  1  6  5   5.6  938 161  1.1 8  4.9  82    0    0 325 -344  2
4109500 2383500  1  6  6   5.6  938 230  1.9 8  4.9  80    0    0 325 -344  2
4109500 2383500  1  6  7   5.8  939 161  1.7 8  5.1  84    0    0 324 -345  2
4109500 2383500  1  6  8   5.8  939 176  1.2 7  5.4  87    0    0 319 -347  2
4109500 2383500  1  6  9   6.2  939 177  2.8 7  5.5  87   12    6 314 -347  2
4109500 2383500  1  6 10   8.3  940 232  4.4 7  6.0  88    0   37 318 -348  2
4109500 2383500  1  6 11   9.0  940 219  3.2 8  6.5  87    0   43 326 -350  2
4109500 2383500  1  6 12   8.8  941 217  3.1 8  6.4  84    0   56 330 -351  2
4109500 2383500  1  6 13   8.3  942  25  5.6 8  6.7  89    0   49 328 -349  2
4109500 2383500  1  6 14   6.8  942   3  4.5 8  6.7  97    0   40 324 -347  2
4109500 2383500  1  6 15   6.1  943 256  3.1 8  6.4  99    0   31 320 -347  2
4109500 2383500  1  6 16   5.6  943 261  2.3 8  6.1  99    0   30 317 -346  2
